,Place,Petrol_Price,Diesel_Price
0,Punjab-Jalandhar,103.33,92.75
1,Assam-Guwahati,98.52,90.46
2,Chandigarh-Chandigarh,98.56,90.50
3,Jharkhand-Ranchi,97.22,95.93
4,Kerala-Trivandrum,104.63,97.66
5,Bihar-Patna,105.30,97.16
6,West Bengal-Kolkata,103.07,93.87
7,Telangana-Hyderabad,106.51,99.04
8,Gujarat-Gandhinagar,99.29,97.89
9,Sikkim-Gangtok,103.10,93.10
10,Delhi-New Delhi,102.39,90.77
11,Meghalaya-Shillong,97.58,89.61
12,Dadra and Nagar Haveli-Silvassa,97.62,96.28
13,Goa-Panjim,99.95,95.65
14,Rajasthan-Jaipur,109.31,100.02
15,Arunachal Pradesh-Itanagar,94.74,87.47
16,Jammu & Kashmir-Srinagar,105.52,94.70
17,Jammu & Kashmir-Jammu,101.77,91.48
18,Nagaland-Kohima,101.90,93.70
19,Haryana-Gurgaon,100.12,91.49
20,Daman Diu-Daman,97.50,96.16
21,Haryana-Ambala,99.87,91.26
22,Mizoram-Aizawl,99.62,90.26
23,Uttar Pradesh-Ghaziabad,99.48,91.18
24,Manipur-Imphal,103.64,91.67
25,Uttar Pradesh-Lucknow,99.23,90.96
26,Tripura-Agartala,102.85,94.86
27,Uttar Pradesh-Noida,99.70,91.38
28,Himachal Pradesh-Shimla,100.40,90.53
29,Karnataka-Bangalore,105.95,96.34
30,Madhya Pradesh-Bhopal,110.88,99.73
31,Maharashtra-Mumbai,108.43,98.48
32,Tamil Nadu-Chennai,100.01,95.31
33,Haryana-Faridabad,100.44,91.79
34,Uttarakhand-Dehradun,98.61,91.60
35,Andaman Nicobar-Port Blair,85.79,84.67
